concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
44806682	4152194	Maps to	20020131	20991231	
4152194	44806682	Mapped from	20020131	20991231	
4020553	4248525	Concept replaced by	20250131	20991231	
4020553	4248525	Maps to	20250131	20991231	
4248525	4020553	Mapped from	20250131	20991231	
4152194	4152194	Maps to	20020131	20991231	
4154790	4154790	Maps to	20020131	20991231	
4248525	4248525	Maps to	20020131	20991231	
3027018	3027018	Maps to	19700101	20991231	
4152194	4154790	Is a	20020131	20991231	
